State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude,Number_of_death
Arunachal Pradesh,Unknown,2018,August,Friday,12:06,Minor,4,Cycle,4,5,Stormy,State Highway,Under Construction,Dusk,Signals,60,44,Female,None,No,Curve,12.95192177,94.83220121,6
Andhra Pradesh,Tirupati,2019,October,Sunday,12:47,Minor,2,Cycle,7,4,Rainy,Village Road,Damaged,Dark,Signs,90,51,Female,Valid,No,Curve,16.21454056,73.23668501,5
Karnataka,Bangalore,2023,October,Thursday,18:59,Fatal,5,Car,10,2,Hazy,Village Road,Wet,Dark,Signs,114,51,Female,Expired,No,Intersection,22.16842365,84.47041169,6
Sikkim,Unknown,2023,November,Wednesday,10:51,Serious,3,Auto-Rickshaw,7,1,Rainy,National Highway,Under Construction,Dawn,Signs,80,55,Male,Valid,Yes,Bridge,19.6625155,94.54916063,7
Chhattisgarh,Unknown,2022,April,Saturday,06:39,Fatal,3,Car,7,5,Foggy,State Highway,Wet,Daylight,Signs,46,57,Female,Valid,Yes,Straight Road,15.86318679,68.98443338,9
Madhya Pradesh,Unknown,2018,June,Tuesday,08:10,Serious,5,Two-Wheeler,6,3,Rainy,Urban Road,Dry,Dusk,Signals,30,20,Female,Expired,Yes,Bridge,24.52002816,88.22518775,7
Puducherry,Unknown,2022,February,Wednesday,01:35,Serious,2,Car,10,3,Hazy,Urban Road,Dry,Dusk,Signs,55,41,Female,Valid,No,Straight Road,11.76633424,76.62312121,1
Uttar Pradesh,Varanasi,2022,July,Friday,18:51,Fatal,1,Two-Wheeler,9,4,Clear,National Highway,Wet,Dawn,Signals,34,23,Female,Expired,Yes,Bridge,15.88790551,94.80748967,3
Maharashtra,Nagpur,2022,December,Tuesday,13:34,Serious,3,Cycle,1,3,Foggy,National Highway,Dry,Daylight,None,106,48,Male,None,No,Intersection,17.89176977,96.16068911,1
Jammu and Kashmir,Unknown,2022,February,Monday,03:29,Serious,1,Two-Wheeler,1,1,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,31,20,Male,None,No,Straight Road,20.31388957,95.38372818,4
Tamil Nadu,Madurai,2018,August,Tuesday,11:10,Fatal,3,Auto-Rickshaw,2,2,Stormy,National Highway,Wet,Daylight,Police Checkpost,92,43,Female,None,Yes,Intersection,29.19975096,81.75221228,8
Madhya Pradesh,Unknown,2019,April,Wednesday,15:58,Minor,2,Pedestrian,7,5,Clear,State Highway,Under Construction,Daylight,Police Checkpost,71,65,Male,None,No,Straight Road,13.39119212,92.99923688,8
Madhya Pradesh,Unknown,2023,August,Wednesday,00:54,Fatal,1,Car,10,1,Stormy,National Highway,Damaged,Dusk,None,90,64,Female,Expired,No,Bridge,21.88432984,92.49193256,2
Chandigarh,Unknown,2019,March,Friday,15:42,Serious,2,Bus,8,0,Stormy,Village Road,Wet,Daylight,Signals,83,31,Female,Expired,No,Curve,23.99519336,77.25391372,7
Uttar Pradesh,Varanasi,2018,May,Sunday,10:53,Minor,3,Two-Wheeler,2,1,Hazy,National Highway,Under Construction,Dusk,None,33,24,Female,Valid,Yes,Straight Road,9.254161143,92.03854875,4
Gujarat,Surat,2019,March,Thursday,15:01,Fatal,2,Car,7,0,Stormy,State Highway,Under Construction,Dawn,Signs,69,51,Female,Valid,No,Bridge,24.403711,69.07322141,4
Uttar Pradesh,Lucknow,2022,November,Tuesday,09:25,Fatal,1,Bus,0,3,Clear,National Highway,Under Construction,Dark,Signals,53,63,Male,Valid,No,Straight Road,12.60415134,85.29182648,3
Maharashtra,Mumbai,2020,July,Saturday,23:21,Serious,5,Bus,6,2,Hazy,Urban Road,Damaged,Dawn,Signs,82,68,Female,Valid,No,Curve,9.756393011,74.67025628,8
Odisha,Unknown,2018,July,Thursday,12:01,Minor,3,Auto-Rickshaw,7,2,Stormy,State Highway,Damaged,Dark,Signs,79,41,Male,Valid,Yes,Curve,33.61990951,71.49643969,3
Telangana,Unknown,2023,August,Saturday,17:37,Minor,2,Pedestrian,8,3,Stormy,National Highway,Dry,Dawn,None,30,40,Male,None,Yes,Bridge,34.07206489,70.23164285,2
West Bengal,Durgapur,2023,February,Sunday,11:02,Serious,3,Cycle,9,5,Hazy,Village Road,Damaged,Dark,None,106,25,Female,Expired,Yes,Straight Road,29.8267284,88.1923745,7
Kerala,Unknown,2019,January,Tuesday,16:03,Fatal,2,Car,3,1,Foggy,State Highway,Damaged,Dawn,None,102,32,Female,Expired,No,Bridge,16.22457177,77.85637395,8
Assam,Unknown,2020,July,Thursday,19:18,Minor,2,Car,1,5,Foggy,National Highway,Under Construction,Dawn,None,48,69,Female,Expired,No,Curve,10.63714708,89.01823637,6
Nagaland,Unknown,2018,June,Saturday,17:43,Minor,5,Truck,5,3,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,32,65,Male,Valid,No,Intersection,26.47429172,69.89533388,2
Meghalaya,Unknown,2022,February,Monday,06:20,Serious,1,Truck,4,1,Hazy,Urban Road,Under Construction,Dusk,Signs,59,60,Male,Valid,No,Straight Road,19.88411733,77.1434198,1
Chhattisgarh,Unknown,2022,February,Wednesday,17:08,Fatal,2,Truck,5,5,Rainy,National Highway,Under Construction,Daylight,None,88,53,Female,Expired,No,Bridge,11.29503234,83.64524748,2
Gujarat,Surat,2022,July,Tuesday,20:19,Serious,5,Auto-Rickshaw,2,2,Foggy,Village Road,Damaged,Dusk,Signs,83,56,Male,Valid,No,Intersection,21.36977657,90.93097178,3
West Bengal,Kolkata,2020,April,Friday,07:58,Minor,2,Auto-Rickshaw,2,5,Clear,State Highway,Under Construction,Dawn,None,58,47,Female,Valid,No,Bridge,8.92849007,77.24382259,1
West Bengal,Kolkata,2018,December,Sunday,07:46,Serious,5,Cycle,2,5,Rainy,Village Road,Damaged,Dark,Signals,30,20,Male,Valid,Yes,Straight Road,32.55165086,86.15084992,3
Tripura,Unknown,2022,February,Sunday,10:52,Serious,1,Truck,8,1,Foggy,National Highway,Damaged,Dawn,Signs,104,42,Male,Valid,No,Curve,14.9870595,93.6933547,2
Karnataka,Bangalore,2021,February,Wednesday,22:36,Minor,3,Truck,1,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,44,Male,None,Yes,Intersection,25.88810168,85.86003246,7
West Bengal,Durgapur,2021,November,Friday,09:04,Minor,3,Auto-Rickshaw,4,4,Foggy,State Highway,Damaged,Dark,Signs,82,53,Male,None,No,Intersection,16.41619905,74.75582477,1
Chhattisgarh,Unknown,2020,January,Tuesday,19:34,Fatal,5,Cycle,0,2,Rainy,Village Road,Wet,Daylight,Signs,82,48,Male,Valid,Yes,Curve,22.04183657,68.70762267,9
Himachal Pradesh,Unknown,2019,October,Wednesday,05:00,Serious,2,Car,2,5,Stormy,Village Road,Under Construction,Daylight,Signs,108,37,Female,None,Yes,Intersection,22.76117754,93.23286734,5
Gujarat,Ahmedabad,2023,May,Sunday,04:33,Minor,4,Auto-Rickshaw,9,4,Hazy,National Highway,Dry,Dusk,None,41,49,Female,Valid,No,Curve,12.9910703,68.61681291,5
Gujarat,Ahmedabad,2019,December,Wednesday,00:26,Fatal,4,Two-Wheeler,3,5,Rainy,State Highway,Wet,Dusk,None,61,51,Female,None,No,Intersection,34.17878495,93.36634851,1
Uttar Pradesh,Kanpur,2018,May,Thursday,18:57,Minor,2,Two-Wheeler,6,2,Rainy,National Highway,Wet,Dusk,None,109,30,Male,Valid,No,Bridge,28.92858623,83.33917689,4
Odisha,Unknown,2022,August,Tuesday,22:43,Fatal,4,Two-Wheeler,1,3,Foggy,National Highway,Under Construction,Daylight,None,30,57,Male,Expired,No,Curve,33.36647142,95.23296326,6
Uttarakhand,Unknown,2022,May,Sunday,09:10,Minor,5,Auto-Rickshaw,1,4,Hazy,State Highway,Damaged,Dawn,Police Checkpost,114,25,Female,None,Yes,Straight Road,32.16033846,91.16471384,7
Chhattisgarh,Unknown,2021,April,Saturday,05:38,Serious,4,Pedestrian,6,4,Foggy,State Highway,Dry,Dusk,Signals,37,22,Male,Valid,Yes,Intersection,24.14329943,96.94008921,9
Karnataka,Mangalore,2020,October,Thursday,20:21,Serious,2,Bus,1,5,Hazy,State Highway,Under Construction,Dark,Signs,50,44,Male,Expired,No,Straight Road,32.89060435,78.17064265,3
Uttarakhand,Unknown,2022,February,Sunday,00:35,Serious,1,Car,8,1,Stormy,National Highway,Wet,Dark,Police Checkpost,89,20,Male,None,No,Intersection,10.38929756,90.24846038,9
Arunachal Pradesh,Unknown,2023,February,Friday,22:31,Fatal,2,Two-Wheeler,9,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117,59,Male,None,Yes,Bridge,13.29153729,79.65599649,6
West Bengal,Siliguri,2022,November,Tuesday,00:24,Fatal,5,Cycle,7,4,Rainy,State Highway,Wet,Dawn,Signs,45,56,Female,None,No,Bridge,9.221136801,81.91639299,2
Chhattisgarh,Unknown,2018,April,Monday,07:09,Serious,3,Two-Wheeler,8,3,Foggy,State Highway,Dry,Dawn,None,70,62,Female,Valid,Yes,Bridge,16.78391893,86.19765843,2
Haryana,Unknown,2021,August,Sunday,08:33,Fatal,1,Two-Wheeler,6,4,Hazy,State Highway,Dry,Dark,Signals,60,56,Female,None,No,Intersection,18.49428682,93.33663631,2
Andhra Pradesh,Vijayawada,2022,January,Monday,07:51,Minor,1,Pedestrian,0,0,Clear,National Highway,Dry,Dawn,None,95,51,Female,Expired,No,Bridge,15.32642386,96.53842061,8
Assam,Unknown,2023,June,Saturday,06:10,Fatal,2,Bus,6,0,Clear,Urban Road,Dry,Dusk,Signals,31,54,Female,Expired,No,Straight Road,30.37591275,90.279929,4
Himachal Pradesh,Unknown,2018,October,Saturday,10:06,Minor,1,Cycle,6,3,Foggy,Village Road,Damaged,Dawn,None,85,55,Male,Valid,No,Intersection,17.63233982,80.11523668,7
Odisha,Unknown,2019,June,Thursday,21:56,Fatal,5,Two-Wheeler,2,3,Hazy,Village Road,Dry,Daylight,Police Checkpost,110,48,Male,Valid,Yes,Curve,15.58523176,80.21935307,7
Telangana,Unknown,2019,August,Saturday,10:54,Serious,3,Bus,3,2,Foggy,National Highway,Wet,Dawn,Signs,90,66,Male,Valid,No,Intersection,22.65279425,89.38988675,2
Uttarakhand,Unknown,2021,February,Thursday,20:23,Serious,1,Auto-Rickshaw,5,0,Foggy,Urban Road,Wet,Dark,None,61,35,Male,Expired,No,Straight Road,11.80495407,74.92453723,8
Goa,Unknown,2018,February,Saturday,15:01,Fatal,3,Auto-Rickshaw,0,4,Clear,Village Road,Damaged,Dawn,None,35,23,Female,None,Yes,Curve,29.65931848,71.20374928,5
Chandigarh,Unknown,2023,August,Wednesday,17:55,Fatal,4,Auto-Rickshaw,2,5,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85,65,Male,Valid,No,Straight Road,10.01286738,78.28404257,2
Assam,Unknown,2023,April,Sunday,05:27,Fatal,2,Pedestrian,0,0,Stormy,State Highway,Wet,Daylight,Signals,99,59,Female,Valid,No,Intersection,34.64594729,76.32993076,6
Odisha,Unknown,2018,May,Wednesday,00:29,Serious,3,Pedestrian,0,3,Hazy,Urban Road,Wet,Dusk,None,30,41,Female,None,No,Intersection,28.85060877,76.59293549,2
Mizoram,Unknown,2018,June,Friday,16:53,Serious,4,Truck,0,2,Hazy,Village Road,Dry,Dark,None,97,68,Male,None,Yes,Intersection,13.3653234,74.77462478,5
Gujarat,Vadodara,2023,March,Wednesday,13:40,Fatal,3,Truck,2,3,Foggy,Urban Road,Wet,Dawn,Signs,105,59,Male,Expired,No,Intersection,8.149097162,69.2207025,5
Meghalaya,Unknown,2018,April,Tuesday,02:42,Serious,5,Auto-Rickshaw,6,2,Hazy,State Highway,Under Construction,Dawn,Signs,94,45,Female,Expired,Yes,Straight Road,30.01745857,68.51834411,5
Karnataka,Mysore,2019,October,Monday,05:10,Minor,4,Bus,10,2,Stormy,Village Road,Wet,Dark,None,44,42,Female,None,Yes,Bridge,27.08514828,96.6439493,2
Uttarakhand,Unknown,2020,April,Saturday,16:57,Minor,3,Bus,6,2,Clear,State Highway,Wet,Dark,Police Checkpost,66,25,Female,Expired,Yes,Straight Road,27.68319354,80.40542088,9
Delhi,Dwarka,2018,January,Tuesday,04:43,Serious,5,Two-Wheeler,1,4,Rainy,State Highway,Under Construction,Dusk,None,77,63,Female,None,Yes,Intersection,28.82429936,79.14547277,3
Jharkhand,Unknown,2022,April,Thursday,00:43,Fatal,4,Cycle,10,3,Clear,State Highway,Dry,Dark,Police Checkpost,38,57,Female,None,Yes,Straight Road,9.999205597,87.7097712,2
Assam,Unknown,2020,April,Saturday,19:42,Minor,1,Car,3,2,Clear,Village Road,Damaged,Dark,Signals,43,60,Female,None,No,Straight Road,17.67857467,74.32936275,8
Jammu and Kashmir,Unknown,2023,February,Saturday,09:18,Fatal,1,Cycle,3,1,Clear,National Highway,Dry,Dusk,Signals,41,62,Male,None,No,Bridge,11.12846461,95.54887433,8
Punjab,Unknown,2018,April,Tuesday,15:40,Serious,5,Car,1,3,Stormy,National Highway,Dry,Dark,Police Checkpost,30,49,Female,None,No,Curve,31.3037925,90.80400542,8
Jammu and Kashmir,Unknown,2023,December,Friday,17:12,Fatal,5,Cycle,10,3,Rainy,Urban Road,Under Construction,Dark,Signals,68,61,Female,Expired,Yes,Intersection,24.82904942,70.59291907,5
Gujarat,Vadodara,2018,August,Thursday,09:03,Minor,4,Pedestrian,10,0,Foggy,National Highway,Dry,Dawn,Signals,74,21,Female,Expired,No,Bridge,16.93424667,80.1098425,1
Maharashtra,Nagpur,2019,June,Monday,16:44,Minor,2,Car,5,5,Hazy,State Highway,Under Construction,Dawn,Signals,101,45,Female,None,Yes,Bridge,9.716075458,93.49443092,7
Manipur,Unknown,2020,May,Sunday,08:53,Minor,5,Two-Wheeler,10,1,Hazy,Urban Road,Wet,Daylight,Signals,33,24,Female,Valid,Yes,Bridge,16.39652269,95.39722865,8
Maharashtra,Nagpur,2023,May,Wednesday,12:02,Fatal,4,Two-Wheeler,7,1,Hazy,Urban Road,Under Construction,Dusk,Signs,57,49,Female,Expired,No,Straight Road,16.77994969,81.55464383,2
Chandigarh,Unknown,2020,October,Wednesday,17:06,Minor,1,Car,1,1,Rainy,Village Road,Damaged,Dusk,None,43,60,Male,Expired,Yes,Curve,27.69936682,85.78893029,6
Madhya Pradesh,Unknown,2022,July,Sunday,02:57,Minor,1,Car,8,2,Hazy,Urban Road,Dry,Dawn,Signs,81,18,Female,Expired,Yes,Intersection,25.21405173,72.84398444,2
Bihar,Unknown,2023,March,Monday,03:27,Fatal,4,Bus,1,1,Hazy,Village Road,Dry,Dusk,Signals,67,63,Female,Expired,No,Bridge,31.95474405,96.74389016,8
Tripura,Unknown,2022,February,Saturday,02:35,Fatal,4,Cycle,6,0,Foggy,State Highway,Under Construction,Dusk,Signals,98,64,Female,Expired,Yes,Curve,20.74980298,74.71847934,1
Madhya Pradesh,Unknown,2018,October,Tuesday,11:17,Serious,2,Bus,4,3,Clear,Village Road,Under Construction,Daylight,Signs,73,18,Female,Expired,No,Curve,11.22904464,95.33922145,8
Jharkhand,Unknown,2021,November,Tuesday,23:18,Minor,2,Bus,3,0,Stormy,Village Road,Dry,Dusk,None,95,36,Male,Expired,Yes,Intersection,27.25760926,86.83975282,6
Assam,Unknown,2022,May,Saturday,12:31,Minor,2,Bus,4,4,Stormy,Urban Road,Damaged,Dark,None,82,27,Female,None,Yes,Bridge,28.54119631,85.62436705,7
Punjab,Unknown,2018,August,Sunday,14:45,Serious,1,Cycle,3,1,Rainy,Village Road,Wet,Daylight,Signals,74,57,Male,Expired,No,Curve,23.15448433,82.86796682,3
Nagaland,Unknown,2018,July,Friday,09:17,Fatal,3,Auto-Rickshaw,7,3,Stormy,Urban Road,Damaged,Dawn,Signs,47,37,Male,Valid,No,Curve,28.81611386,74.68942454,6
Uttar Pradesh,Lucknow,2020,April,Saturday,01:29,Minor,4,Car,5,3,Clear,National Highway,Damaged,Daylight,None,36,34,Female,Expired,No,Curve,21.3324811,73.11931293,3
Gujarat,Ahmedabad,2022,August,Sunday,12:26,Serious,1,Two-Wheeler,3,3,Rainy,State Highway,Under Construction,Daylight,Signs,59,55,Female,Expired,Yes,Bridge,22.11378639,74.39410006,3
Tripura,Unknown,2020,August,Monday,16:40,Serious,5,Cycle,10,5,Rainy,National Highway,Dry,Dusk,Police Checkpost,37,40,Female,Expired,No,Straight Road,19.5436075,73.4067096,4
Assam,Unknown,2020,February,Saturday,12:07,Minor,2,Car,1,2,Stormy,Village Road,Damaged,Dusk,None,73,61,Female,None,Yes,Curve,8.686316422,90.60794973,5
Karnataka,Mysore,2020,December,Tuesday,12:46,Fatal,2,Car,9,0,Foggy,Urban Road,Dry,Dusk,None,60,58,Male,Expired,Yes,Straight Road,10.91306853,78.15363252,3
Telangana,Unknown,2023,September,Sunday,13:12,Minor,1,Car,6,3,Stormy,State Highway,Dry,Dawn,Signs,84,52,Male,Expired,No,Bridge,8.848588014,69.67743762,1
Tripura,Unknown,2020,December,Sunday,10:51,Fatal,4,Auto-Rickshaw,4,4,Clear,State Highway,Dry,Daylight,Signs,100,62,Male,None,No,Intersection,25.1830811,96.10397627,7
Andhra Pradesh,Tirupati,2019,August,Saturday,06:11,Serious,4,Cycle,5,3,Rainy,State Highway,Wet,Dusk,None,98,44,Male,None,No,Intersection,16.48761149,93.62979066,4
Kerala,Unknown,2022,April,Monday,05:20,Minor,3,Two-Wheeler,10,3,Clear,Urban Road,Under Construction,Dusk,None,86,30,Male,Expired,Yes,Curve,21.73140866,94.90481621,2
Jammu and Kashmir,Unknown,2019,March,Sunday,07:50,Serious,1,Car,0,0,Hazy,National Highway,Dry,Daylight,Police Checkpost,50,20,Male,Expired,Yes,Bridge,32.5042948,96.85232686,4
Goa,Unknown,2020,June,Sunday,15:50,Fatal,1,Auto-Rickshaw,8,5,Stormy,Village Road,Wet,Dark,Signals,49,51,Female,Valid,Yes,Curve,14.73089019,73.04296223,4
Gujarat,Vadodara,2023,August,Wednesday,10:13,Serious,4,Pedestrian,5,4,Stormy,Village Road,Wet,Daylight,Signs,102,29,Male,Valid,No,Curve,19.08033892,79.49101855,9
Uttarakhand,Unknown,2021,May,Thursday,05:29,Fatal,2,Bus,2,2,Stormy,Village Road,Damaged,Daylight,Signals,86,27,Male,Valid,Yes,Straight Road,28.39988074,89.9889158,1
Meghalaya,Unknown,2019,September,Friday,20:43,Fatal,5,Bus,2,4,Hazy,National Highway,Dry,Dusk,None,103,64,Male,Expired,No,Straight Road,14.17755047,88.18459792,9
Manipur,Unknown,2022,August,Saturday,11:22,Minor,4,Car,8,4,Foggy,Village Road,Under Construction,Dark,Signals,41,37,Male,Expired,Yes,Straight Road,10.07845757,72.46298128,2
Chhattisgarh,Unknown,2020,October,Friday,18:43,Fatal,4,Auto-Rickshaw,3,5,Clear,State Highway,Damaged,Dusk,Signs,111,59,Male,Expired,No,Curve,15.82328923,91.65916062,2
Karnataka,Mysore,2022,December,Tuesday,22:37,Serious,4,Auto-Rickshaw,9,4,Stormy,Urban Road,Wet,Dusk,None,92,20,Female,None,No,Intersection,12.35297476,74.50877658,9
Manipur,Unknown,2021,June,Wednesday,03:40,Fatal,5,Pedestrian,4,5,Foggy,Urban Road,Under Construction,Dark,Signals,32,26,Male,Valid,Yes,Intersection,33.10183661,74.49071083,2
Jharkhand,Unknown,2019,October,Wednesday,08:16,Minor,1,Auto-Rickshaw,10,5,Hazy,National Highway,Under Construction,Dusk,Signs,50,61,Female,None,No,Curve,29.81925025,83.57225826,5
Mizoram,Unknown,2021,May,Monday,03:50,Serious,3,Truck,9,5,Rainy,State Highway,Under Construction,Dusk,Signs,83,34,Female,Expired,Yes,Intersection,25.10190143,85.19525811,7
Chandigarh,Unknown,2018,October,Tuesday,18:24,Fatal,5,Two-Wheeler,5,0,Stormy,State Highway,Damaged,Dusk,None,120,22,Male,Expired,No,Intersection,31.52943594,84.82250003,2
Punjab,Unknown,2023,May,Friday,02:20,Minor,3,Truck,0,0,Clear,National Highway,Dry,Dusk,Signs,66,50,Male,None,Yes,Intersection,29.69914608,70.65311828,1
Tripura,Unknown,2023,February,Wednesday,13:20,Serious,4,Auto-Rickshaw,0,1,Clear,Village Road,Dry,Dawn,Police Checkpost,69,24,Male,None,No,Straight Road,13.03739159,93.44636502,5
Telangana,Unknown,2020,June,Monday,03:19,Minor,5,Two-Wheeler,10,1,Stormy,Urban Road,Damaged,Dusk,None,73,50,Male,None,Yes,Curve,32.09909296,75.70240124,9
Karnataka,Mangalore,2022,June,Sunday,17:25,Fatal,3,Bus,8,4,Rainy,National Highway,Wet,Daylight,None,86,37,Male,None,No,Curve,22.56224053,71.75593272,5
Madhya Pradesh,Unknown,2023,July,Monday,21:40,Fatal,4,Cycle,3,1,Rainy,State Highway,Wet,Dusk,None,81,45,Female,Expired,No,Intersection,29.80088419,93.77369432,1
Chandigarh,Unknown,2020,May,Sunday,17:09,Minor,2,Bus,10,0,Rainy,National Highway,Under Construction,Dark,None,61,47,Female,Valid,No,Bridge,32.1944651,95.71389345,9
Tamil Nadu,Chennai,2019,May,Friday,22:03,Minor,3,Bus,10,4,Hazy,National Highway,Wet,Daylight,None,35,31,Female,Valid,No,Intersection,16.58609382,93.0017009,9
Delhi,Rohini,2019,April,Monday,16:44,Fatal,5,Bus,7,3,Stormy,State Highway,Under Construction,Daylight,None,77,63,Male,Expired,No,Intersection,10.97140196,91.47596617,8
Chhattisgarh,Unknown,2018,October,Wednesday,10:18,Fatal,1,Bus,1,2,Clear,Urban Road,Wet,Daylight,Police Checkpost,119,49,Female,Expired,No,Bridge,14.15424939,87.00201744,9
Puducherry,Unknown,2022,February,Wednesday,04:31,Serious,5,Cycle,10,5,Hazy,Urban Road,Under Construction,Dark,Police Checkpost,30,39,Male,Valid,No,Bridge,19.53191029,83.97486375,5
West Bengal,Kolkata,2018,June,Saturday,20:12,Serious,1,Bus,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,88,53,Male,Expired,Yes,Intersection,30.08639868,70.52261604,5
Tamil Nadu,Chennai,2023,November,Thursday,21:27,Serious,5,Two-Wheeler,10,1,Rainy,Urban Road,Under Construction,Dawn,Signals,80,32,Male,None,Yes,Intersection,31.23972575,79.84514318,8
Punjab,Unknown,2019,May,Tuesday,22:18,Minor,5,Pedestrian,4,4,Stormy,Village Road,Wet,Dawn,Signs,49,57,Female,Expired,Yes,Intersection,8.187707524,78.80796699,5
Karnataka,Bangalore,2020,May,Thursday,06:49,Serious,2,Cycle,8,2,Rainy,Urban Road,Wet,Daylight,Signs,96,43,Male,Valid,Yes,Intersection,21.79017717,75.53285973,6
Nagaland,Unknown,2020,November,Sunday,20:49,Serious,3,Cycle,0,4,Foggy,National Highway,Dry,Daylight,Police Checkpost,79,54,Female,Expired,Yes,Intersection,19.27009709,88.9791833,1
Maharashtra,Nagpur,2019,July,Monday,20:04,Fatal,3,Pedestrian,2,2,Clear,National Highway,Wet,Dark,Signals,35,55,Male,Valid,Yes,Bridge,13.99691088,82.38039632,1
Meghalaya,Unknown,2022,October,Thursday,04:47,Fatal,5,Bus,10,2,Clear,Urban Road,Damaged,Dawn,Police Checkpost,95,18,Female,None,Yes,Curve,11.23636492,70.35034026,8
Karnataka,Mangalore,2023,June,Sunday,23:33,Serious,3,Two-Wheeler,5,3,Rainy,National Highway,Wet,Dark,Signals,31,42,Female,Valid,No,Straight Road,17.11560963,74.38531286,4
Haryana,Unknown,2023,August,Sunday,06:01,Minor,1,Cycle,9,0,Foggy,Urban Road,Dry,Dusk,Signs,70,50,Female,None,No,Curve,33.45856201,87.81450415,9
Tamil Nadu,Madurai,2018,January,Friday,22:19,Minor,1,Truck,9,1,Hazy,State Highway,Damaged,Daylight,Signals,55,67,Male,None,No,Straight Road,16.72647916,70.20779493,1
Sikkim,Unknown,2022,September,Thursday,22:07,Serious,2,Car,0,5,Foggy,State Highway,Wet,Dark,None,107,45,Female,Valid,No,Bridge,22.00734679,92.68500051,4
Bihar,Unknown,2021,June,Tuesday,06:44,Fatal,5,Car,10,4,Stormy,State Highway,Under Construction,Dark,None,44,34,Male,Valid,No,Curve,26.98151189,82.35924928,7
