state name,city name,year,month,day of week,time of day,accident severity,number of vehicles involved,vehicle type involved,number of casualties,number of fatalities,weather conditions,road type,road condition,lighting conditions,traffic control presence,speed limit (km/h),driver age,driver gender,driver license status,alcohol involvement,accident location details,latitude,longitude,number_of_death,hour,date,location,severity,vehicle,vehicles_count,casualties,fatalities,weather,road_type,road_condition,lighting,traffic,speed,age,gender,license,alcohol,lat,lng,age_group,is_weekend
Telangana,Unknown,2021,August,Friday,18:57,Serious,3,Bus,6,3,Foggy,National Highway,Wet,Dawn,Police Checkpost,47,54,Male,Valid,No,Intersection,12.90927411,88.46168,9,18,2021-08-01,Telangana - Unknown,Serious,Bus,3,6,3,Foggy,National Highway,Wet,Dawn,Police Checkpost,47,54,Male,Valid,No,12.90927411,88.46168,Mid-age,False
Arunachal Pradesh,Unknown,2018,August,Friday,12:06,Minor,4,Cycle,4,5,Stormy,State Highway,Under Construction,Dusk,Signals,60,44,Female,,No,Curve,12.95192177,94.83220121,6,12,2018-08-01,Arunachal Pradesh - Unknown,Minor,Cycle,4,4,5,Stormy,State Highway,Under Construction,Dusk,Signals,60,44,Female,,No,12.95192177,94.83220121,Adult,False
Andhra Pradesh,Tirupati,2019,October,Sunday,12:47,Minor,2,Cycle,7,4,Rainy,Village Road,Damaged,Dark,Signs,90,51,Female,Valid,No,Curve,16.21454056,73.23668501,5,12,2019-10-01,Andhra Pradesh - Tirupati,Minor,Cycle,2,7,4,Rainy,Village Road,Damaged,Dark,Signs,90,51,Female,Valid,No,16.21454056,73.23668501,Mid-age,True
Karnataka,Bangalore,2023,October,Thursday,18:59,Fatal,5,Car,10,2,Hazy,Village Road,Wet,Dark,Signs,114,51,Female,Expired,No,Intersection,22.16842365,84.47041169,6,18,2023-10-01,Karnataka - Bangalore,Fatal,Car,5,10,2,Hazy,Village Road,Wet,Dark,Signs,114,51,Female,Expired,No,22.16842365,84.47041169,Mid-age,False
Sikkim,Unknown,2023,November,Wednesday,10:51,Serious,3,Auto-Rickshaw,7,1,Rainy,National Highway,Under Construction,Dawn,Signs,80,55,Male,Valid,Yes,Bridge,19.6625155,94.54916063,7,10,2023-11-01,Sikkim - Unknown,Serious,Auto-Rickshaw,3,7,1,Rainy,National Highway,Under Construction,Dawn,Signs,80,55,Male,Valid,Yes,19.6625155,94.54916063,Mid-age,False
Chhattisgarh,Unknown,2022,April,Saturday,06:39,Fatal,3,Car,7,5,Foggy,State Highway,Wet,Daylight,Signs,46,57,Female,Valid,Yes,Straight Road,15.86318679,68.98443338,9,6,2022-04-01,Chhattisgarh - Unknown,Fatal,Car,3,7,5,Foggy,State Highway,Wet,Daylight,Signs,46,57,Female,Valid,Yes,15.86318679,68.98443338,Mid-age,True
Madhya Pradesh,Unknown,2018,June,Tuesday,08:10,Serious,5,Two-Wheeler,6,3,Rainy,Urban Road,Dry,Dusk,Signals,30,20,Female,Expired,Yes,Bridge,24.52002816,88.22518775,7,8,2018-06-01,Madhya Pradesh - Unknown,Serious,Two-Wheeler,5,6,3,Rainy,Urban Road,Dry,Dusk,Signals,30,20,Female,Expired,Yes,24.52002816,88.22518775,Young,False
Puducherry,Unknown,2022,February,Wednesday,01:35,Serious,2,Car,10,3,Hazy,Urban Road,Dry,Dusk,Signs,55,41,Female,Valid,No,Straight Road,11.76633424,76.62312121,1,1,2022-02-01,Puducherry - Unknown,Serious,Car,2,10,3,Hazy,Urban Road,Dry,Dusk,Signs,55,41,Female,Valid,No,11.76633424,76.62312121,Adult,False
Uttar Pradesh,Varanasi,2022,July,Friday,18:51,Fatal,1,Two-Wheeler,9,4,Clear,National Highway,Wet,Dawn,Signals,34,23,Female,Expired,Yes,Bridge,15.88790551,94.80748967,3,18,2022-07-01,Uttar Pradesh - Varanasi,Fatal,Two-Wheeler,1,9,4,Clear,National Highway,Wet,Dawn,Signals,34,23,Female,Expired,Yes,15.88790551,94.80748967,Young,False
Maharashtra,Nagpur,2022,December,Tuesday,13:34,Serious,3,Cycle,1,3,Foggy,National Highway,Dry,Daylight,,106,48,Male,,No,Intersection,17.89176977,96.16068911,1,13,2022-12-01,Maharashtra - Nagpur,Serious,Cycle,3,1,3,Foggy,National Highway,Dry,Daylight,,106,48,Male,,No,17.89176977,96.16068911,Mid-age,False
Jammu and Kashmir,Unknown,2022,February,Monday,03:29,Serious,1,Two-Wheeler,1,1,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,31,20,Male,,No,Straight Road,20.31388957,95.38372818,4,3,2022-02-01,Jammu and Kashmir - Unknown,Serious,Two-Wheeler,1,1,1,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,31,20,Male,,No,20.31388957,95.38372818,Young,False
Tamil Nadu,Madurai,2018,August,Tuesday,11:10,Fatal,3,Auto-Rickshaw,2,2,Stormy,National Highway,Wet,Daylight,Police Checkpost,92,43,Female,,Yes,Intersection,29.19975096,81.75221228,8,11,2018-08-01,Tamil Nadu - Madurai,Fatal,Auto-Rickshaw,3,2,2,Stormy,National Highway,Wet,Daylight,Police Checkpost,92,43,Female,,Yes,29.19975096,81.75221228,Adult,False
Madhya Pradesh,Unknown,2019,April,Wednesday,15:58,Minor,2,Pedestrian,7,5,Clear,State Highway,Under Construction,Daylight,Police Checkpost,71,65,Male,,No,Straight Road,13.39119212,92.99923688,8,15,2019-04-01,Madhya Pradesh - Unknown,Minor,Pedestrian,2,7,5,Clear,State Highway,Under Construction,Daylight,Police Checkpost,71,65,Male,,No,13.39119212,92.99923688,Senior,False
Madhya Pradesh,Unknown,2023,August,Wednesday,00:54,Fatal,1,Car,10,1,Stormy,National Highway,Damaged,Dusk,,90,64,Female,Expired,No,Bridge,21.88432984,92.49193256,2,0,2023-08-01,Madhya Pradesh - Unknown,Fatal,Car,1,10,1,Stormy,National Highway,Damaged,Dusk,,90,64,Female,Expired,No,21.88432984,92.49193256,Senior,False
Chandigarh,Unknown,2019,March,Friday,15:42,Serious,2,Bus,8,0,Stormy,Village Road,Wet,Daylight,Signals,83,31,Female,Expired,No,Curve,23.99519336,77.25391372,7,15,2019-03-01,Chandigarh - Unknown,Serious,Bus,2,8,0,Stormy,Village Road,Wet,Daylight,Signals,83,31,Female,Expired,No,23.99519336,77.25391372,Adult,False
Uttar Pradesh,Varanasi,2018,May,Sunday,10:53,Minor,3,Two-Wheeler,2,1,Hazy,National Highway,Under Construction,Dusk,,33,24,Female,Valid,Yes,Straight Road,9.254161143,92.03854875,4,10,2018-05-01,Uttar Pradesh - Varanasi,Minor,Two-Wheeler,3,2,1,Hazy,National Highway,Under Construction,Dusk,,33,24,Female,Valid,Yes,9.254161143,92.03854875,Young,True
Gujarat,Surat,2019,March,Thursday,15:01,Fatal,2,Car,7,0,Stormy,State Highway,Under Construction,Dawn,Signs,69,51,Female,Valid,No,Bridge,24.403711,69.07322141,4,15,2019-03-01,Gujarat - Surat,Fatal,Car,2,7,0,Stormy,State Highway,Under Construction,Dawn,Signs,69,51,Female,Valid,No,24.403711,69.07322141,Mid-age,False
Uttar Pradesh,Lucknow,2022,November,Tuesday,09:25,Fatal,1,Bus,0,3,Clear,National Highway,Under Construction,Dark,Signals,53,63,Male,Valid,No,Straight Road,12.60415134,85.29182648,3,9,2022-11-01,Uttar Pradesh - Lucknow,Fatal,Bus,1,0,3,Clear,National Highway,Under Construction,Dark,Signals,53,63,Male,Valid,No,12.60415134,85.29182648,Senior,False
Maharashtra,Mumbai,2020,July,Saturday,23:21,Serious,5,Bus,6,2,Hazy,Urban Road,Damaged,Dawn,Signs,82,68,Female,Valid,No,Curve,9.756393011,74.67025628,8,23,2020-07-01,Maharashtra - Mumbai,Serious,Bus,5,6,2,Hazy,Urban Road,Damaged,Dawn,Signs,82,68,Female,Valid,No,9.756393011,74.67025628,Senior,True
Odisha,Unknown,2018,July,Thursday,12:01,Minor,3,Auto-Rickshaw,7,2,Stormy,State Highway,Damaged,Dark,Signs,79,41,Male,Valid,Yes,Curve,33.61990951,71.49643969,3,12,2018-07-01,Odisha - Unknown,Minor,Auto-Rickshaw,3,7,2,Stormy,State Highway,Damaged,Dark,Signs,79,41,Male,Valid,Yes,33.61990951,71.49643969,Adult,False
Telangana,Unknown,2023,August,Saturday,17:37,Minor,2,Pedestrian,8,3,Stormy,National Highway,Dry,Dawn,,30,40,Male,,Yes,Bridge,34.07206489,70.23164285,2,17,2023-08-01,Telangana - Unknown,Minor,Pedestrian,2,8,3,Stormy,National Highway,Dry,Dawn,,30,40,Male,,Yes,34.07206489,70.23164285,Adult,True
West Bengal,Durgapur,2023,February,Sunday,11:02,Serious,3,Cycle,9,5,Hazy,Village Road,Damaged,Dark,,106,25,Female,Expired,Yes,Straight Road,29.8267284,88.1923745,7,11,2023-02-01,West Bengal - Durgapur,Serious,Cycle,3,9,5,Hazy,Village Road,Damaged,Dark,,106,25,Female,Expired,Yes,29.8267284,88.1923745,Young,True
Kerala,Unknown,2019,January,Tuesday,16:03,Fatal,2,Car,3,1,Foggy,State Highway,Damaged,Dawn,,102,32,Female,Expired,No,Bridge,16.22457177,77.85637395,8,16,2019-01-01,Kerala - Unknown,Fatal,Car,2,3,1,Foggy,State Highway,Damaged,Dawn,,102,32,Female,Expired,No,16.22457177,77.85637395,Adult,False
Assam,Unknown,2020,July,Thursday,19:18,Minor,2,Car,1,5,Foggy,National Highway,Under Construction,Dawn,,48,69,Female,Expired,No,Curve,10.63714708,89.01823637,6,19,2020-07-01,Assam - Unknown,Minor,Car,2,1,5,Foggy,National Highway,Under Construction,Dawn,,48,69,Female,Expired,No,10.63714708,89.01823637,Senior,False
Nagaland,Unknown,2018,June,Saturday,17:43,Minor,5,Truck,5,3,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,32,65,Male,Valid,No,Intersection,26.47429172,69.89533388,2,17,2018-06-01,Nagaland - Unknown,Minor,Truck,5,5,3,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,32,65,Male,Valid,No,26.47429172,69.89533388,Senior,True
Meghalaya,Unknown,2022,February,Monday,06:20,Serious,1,Truck,4,1,Hazy,Urban Road,Under Construction,Dusk,Signs,59,60,Male,Valid,No,Straight Road,19.88411733,77.1434198,1,6,2022-02-01,Meghalaya - Unknown,Serious,Truck,1,4,1,Hazy,Urban Road,Under Construction,Dusk,Signs,59,60,Male,Valid,No,19.88411733,77.1434198,Mid-age,False
Chhattisgarh,Unknown,2022,February,Wednesday,17:08,Fatal,2,Truck,5,5,Rainy,National Highway,Under Construction,Daylight,,88,53,Female,Expired,No,Bridge,11.29503234,83.64524748,2,17,2022-02-01,Chhattisgarh - Unknown,Fatal,Truck,2,5,5,Rainy,National Highway,Under Construction,Daylight,,88,53,Female,Expired,No,11.29503234,83.64524748,Mid-age,False
Gujarat,Surat,2022,July,Tuesday,20:19,Serious,5,Auto-Rickshaw,2,2,Foggy,Village Road,Damaged,Dusk,Signs,83,56,Male,Valid,No,Intersection,21.36977657,90.93097178,3,20,2022-07-01,Gujarat - Surat,Serious,Auto-Rickshaw,5,2,2,Foggy,Village Road,Damaged,Dusk,Signs,83,56,Male,Valid,No,21.36977657,90.93097178,Mid-age,False
West Bengal,Kolkata,2020,April,Friday,07:58,Minor,2,Auto-Rickshaw,2,5,Clear,State Highway,Under Construction,Dawn,,58,47,Female,Valid,No,Bridge,8.92849007,77.24382259,1,7,2020-04-01,West Bengal - Kolkata,Minor,Auto-Rickshaw,2,2,5,Clear,State Highway,Under Construction,Dawn,,58,47,Female,Valid,No,8.92849007,77.24382259,Mid-age,False
West Bengal,Kolkata,2018,December,Sunday,07:46,Serious,5,Cycle,2,5,Rainy,Village Road,Damaged,Dark,Signals,30,20,Male,Valid,Yes,Straight Road,32.55165086,86.15084992,3,7,2018-12-01,West Bengal - Kolkata,Serious,Cycle,5,2,5,Rainy,Village Road,Damaged,Dark,Signals,30,20,Male,Valid,Yes,32.55165086,86.15084992,Young,True
Tripura,Unknown,2022,February,Sunday,10:52,Serious,1,Truck,8,1,Foggy,National Highway,Damaged,Dawn,Signs,104,42,Male,Valid,No,Curve,14.9870595,93.6933547,2,10,2022-02-01,Tripura - Unknown,Serious,Truck,1,8,1,Foggy,National Highway,Damaged,Dawn,Signs,104,42,Male,Valid,No,14.9870595,93.6933547,Adult,True
Karnataka,Bangalore,2021,February,Wednesday,22:36,Minor,3,Truck,1,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,44,Male,,Yes,Intersection,25.88810168,85.86003246,7,22,2021-02-01,Karnataka - Bangalore,Minor,Truck,3,1,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,44,Male,,Yes,25.88810168,85.86003246,Adult,False
West Bengal,Durgapur,2021,November,Friday,09:04,Minor,3,Auto-Rickshaw,4,4,Foggy,State Highway,Damaged,Dark,Signs,82,53,Male,,No,Intersection,16.41619905,74.75582477,1,9,2021-11-01,West Bengal - Durgapur,Minor,Auto-Rickshaw,3,4,4,Foggy,State Highway,Damaged,Dark,Signs,82,53,Male,,No,16.41619905,74.75582477,Mid-age,False
Chhattisgarh,Unknown,2020,January,Tuesday,19:34,Fatal,5,Cycle,0,2,Rainy,Village Road,Wet,Daylight,Signs,82,48,Male,Valid,Yes,Curve,22.04183657,68.70762267,9,19,2020-01-01,Chhattisgarh - Unknown,Fatal,Cycle,5,0,2,Rainy,Village Road,Wet,Daylight,Signs,82,48,Male,Valid,Yes,22.04183657,68.70762267,Mid-age,False
Himachal Pradesh,Unknown,2019,October,Wednesday,05:00,Serious,2,Car,2,5,Stormy,Village Road,Under Construction,Daylight,Signs,108,37,Female,,Yes,Intersection,22.76117754,93.23286734,5,5,2019-10-01,Himachal Pradesh - Unknown,Serious,Car,2,2,5,Stormy,Village Road,Under Construction,Daylight,Signs,108,37,Female,,Yes,22.76117754,93.23286734,Adult,False
Gujarat,Ahmedabad,2023,May,Sunday,04:33,Minor,4,Auto-Rickshaw,9,4,Hazy,National Highway,Dry,Dusk,,41,49,Female,Valid,No,Curve,12.9910703,68.61681291,5,4,2023-05-01,Gujarat - Ahmedabad,Minor,Auto-Rickshaw,4,9,4,Hazy,National Highway,Dry,Dusk,,41,49,Female,Valid,No,12.9910703,68.61681291,Mid-age,True
Gujarat,Ahmedabad,2019,December,Wednesday,00:26,Fatal,4,Two-Wheeler,3,5,Rainy,State Highway,Wet,Dusk,,61,51,Female,,No,Intersection,34.17878495,93.36634851,1,0,2019-12-01,Gujarat - Ahmedabad,Fatal,Two-Wheeler,4,3,5,Rainy,State Highway,Wet,Dusk,,61,51,Female,,No,34.17878495,93.36634851,Mid-age,False
Uttar Pradesh,Kanpur,2018,May,Thursday,18:57,Minor,2,Two-Wheeler,6,2,Rainy,National Highway,Wet,Dusk,,109,30,Male,Valid,No,Bridge,28.92858623,83.33917689,4,18,2018-05-01,Uttar Pradesh - Kanpur,Minor,Two-Wheeler,2,6,2,Rainy,National Highway,Wet,Dusk,,109,30,Male,Valid,No,28.92858623,83.33917689,Young,False
Odisha,Unknown,2022,August,Tuesday,22:43,Fatal,4,Two-Wheeler,1,3,Foggy,National Highway,Under Construction,Daylight,,30,57,Male,Expired,No,Curve,33.36647142,95.23296326,6,22,2022-08-01,Odisha - Unknown,Fatal,Two-Wheeler,4,1,3,Foggy,National Highway,Under Construction,Daylight,,30,57,Male,Expired,No,33.36647142,95.23296326,Mid-age,False
Uttarakhand,Unknown,2022,May,Sunday,09:10,Minor,5,Auto-Rickshaw,1,4,Hazy,State Highway,Damaged,Dawn,Police Checkpost,114,25,Female,,Yes,Straight Road,32.16033846,91.16471384,7,9,2022-05-01,Uttarakhand - Unknown,Minor,Auto-Rickshaw,5,1,4,Hazy,State Highway,Damaged,Dawn,Police Checkpost,114,25,Female,,Yes,32.16033846,91.16471384,Young,True
Chhattisgarh,Unknown,2021,April,Saturday,05:38,Serious,4,Pedestrian,6,4,Foggy,State Highway,Dry,Dusk,Signals,37,22,Male,Valid,Yes,Intersection,24.14329943,96.94008921,9,5,2021-04-01,Chhattisgarh - Unknown,Serious,Pedestrian,4,6,4,Foggy,State Highway,Dry,Dusk,Signals,37,22,Male,Valid,Yes,24.14329943,96.94008921,Young,True
Karnataka,Mangalore,2020,October,Thursday,20:21,Serious,2,Bus,1,5,Hazy,State Highway,Under Construction,Dark,Signs,50,44,Male,Expired,No,Straight Road,32.89060435,78.17064265,3,20,2020-10-01,Karnataka - Mangalore,Serious,Bus,2,1,5,Hazy,State Highway,Under Construction,Dark,Signs,50,44,Male,Expired,No,32.89060435,78.17064265,Adult,False
Uttarakhand,Unknown,2022,February,Sunday,00:35,Serious,1,Car,8,1,Stormy,National Highway,Wet,Dark,Police Checkpost,89,20,Male,,No,Intersection,10.38929756,90.24846038,9,0,2022-02-01,Uttarakhand - Unknown,Serious,Car,1,8,1,Stormy,National Highway,Wet,Dark,Police Checkpost,89,20,Male,,No,10.38929756,90.24846038,Young,True
Arunachal Pradesh,Unknown,2023,February,Friday,22:31,Fatal,2,Two-Wheeler,9,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117,59,Male,,Yes,Bridge,13.29153729,79.65599649,6,22,2023-02-01,Arunachal Pradesh - Unknown,Fatal,Two-Wheeler,2,9,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117,59,Male,,Yes,13.29153729,79.65599649,Mid-age,False
West Bengal,Siliguri,2022,November,Tuesday,00:24,Fatal,5,Cycle,7,4,Rainy,State Highway,Wet,Dawn,Signs,45,56,Female,,No,Bridge,9.221136801,81.91639299,2,0,2022-11-01,West Bengal - Siliguri,Fatal,Cycle,5,7,4,Rainy,State Highway,Wet,Dawn,Signs,45,56,Female,,No,9.221136801,81.91639299,Mid-age,False
Chhattisgarh,Unknown,2018,April,Monday,07:09,Serious,3,Two-Wheeler,8,3,Foggy,State Highway,Dry,Dawn,,70,62,Female,Valid,Yes,Bridge,16.78391893,86.19765843,2,7,2018-04-01,Chhattisgarh - Unknown,Serious,Two-Wheeler,3,8,3,Foggy,State Highway,Dry,Dawn,,70,62,Female,Valid,Yes,16.78391893,86.19765843,Senior,False
Haryana,Unknown,2021,August,Sunday,08:33,Fatal,1,Two-Wheeler,6,4,Hazy,State Highway,Dry,Dark,Signals,60,56,Female,,No,Intersection,18.49428682,93.33663631,2,8,2021-08-01,Haryana - Unknown,Fatal,Two-Wheeler,1,6,4,Hazy,State Highway,Dry,Dark,Signals,60,56,Female,,No,18.49428682,93.33663631,Mid-age,True
Andhra Pradesh,Vijayawada,2022,January,Monday,07:51,Minor,1,Pedestrian,0,0,Clear,National Highway,Dry,Dawn,,95,51,Female,Expired,No,Bridge,15.32642386,96.53842061,8,7,2022-01-01,Andhra Pradesh - Vijayawada,Minor,Pedestrian,1,0,0,Clear,National Highway,Dry,Dawn,,95,51,Female,Expired,No,15.32642386,96.53842061,Mid-age,False
Assam,Unknown,2023,June,Saturday,06:10,Fatal,2,Bus,6,0,Clear,Urban Road,Dry,Dusk,Signals,31,54,Female,Expired,No,Straight Road,30.37591275,90.279929,4,6,2023-06-01,Assam - Unknown,Fatal,Bus,2,6,0,Clear,Urban Road,Dry,Dusk,Signals,31,54,Female,Expired,No,30.37591275,90.279929,Mid-age,True
Himachal Pradesh,Unknown,2018,October,Saturday,10:06,Minor,1,Cycle,6,3,Foggy,Village Road,Damaged,Dawn,,85,55,Male,Valid,No,Intersection,17.63233982,80.11523668,7,10,2018-10-01,Himachal Pradesh - Unknown,Minor,Cycle,1,6,3,Foggy,Village Road,Damaged,Dawn,,85,55,Male,Valid,No,17.63233982,80.11523668,Mid-age,True
Odisha,Unknown,2019,June,Thursday,21:56,Fatal,5,Two-Wheeler,2,3,Hazy,Village Road,Dry,Daylight,Police Checkpost,110,48,Male,Valid,Yes,Curve,15.58523176,80.21935307,7,21,2019-06-01,Odisha - Unknown,Fatal,Two-Wheeler,5,2,3,Hazy,Village Road,Dry,Daylight,Police Checkpost,110,48,Male,Valid,Yes,15.58523176,80.21935307,Mid-age,False
Telangana,Unknown,2019,August,Saturday,10:54,Serious,3,Bus,3,2,Foggy,National Highway,Wet,Dawn,Signs,90,66,Male,Valid,No,Intersection,22.65279425,89.38988675,2,10,2019-08-01,Telangana - Unknown,Serious,Bus,3,3,2,Foggy,National Highway,Wet,Dawn,Signs,90,66,Male,Valid,No,22.65279425,89.38988675,Senior,True
Uttarakhand,Unknown,2021,February,Thursday,20:23,Serious,1,Auto-Rickshaw,5,0,Foggy,Urban Road,Wet,Dark,,61,35,Male,Expired,No,Straight Road,11.80495407,74.92453723,8,20,2021-02-01,Uttarakhand - Unknown,Serious,Auto-Rickshaw,1,5,0,Foggy,Urban Road,Wet,Dark,,61,35,Male,Expired,No,11.80495407,74.92453723,Adult,False
Goa,Unknown,2018,February,Saturday,15:01,Fatal,3,Auto-Rickshaw,0,4,Clear,Village Road,Damaged,Dawn,,35,23,Female,,Yes,Curve,29.65931848,71.20374928,5,15,2018-02-01,Goa - Unknown,Fatal,Auto-Rickshaw,3,0,4,Clear,Village Road,Damaged,Dawn,,35,23,Female,,Yes,29.65931848,71.20374928,Young,True
Chandigarh,Unknown,2023,August,Wednesday,17:55,Fatal,4,Auto-Rickshaw,2,5,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85,65,Male,Valid,No,Straight Road,10.01286738,78.28404257,2,17,2023-08-01,Chandigarh - Unknown,Fatal,Auto-Rickshaw,4,2,5,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85,65,Male,Valid,No,10.01286738,78.28404257,Senior,False
Assam,Unknown,2023,April,Sunday,05:27,Fatal,2,Pedestrian,0,0,Stormy,State Highway,Wet,Daylight,Signals,99,59,Female,Valid,No,Intersection,34.64594729,76.32993076,6,5,2023-04-01,Assam - Unknown,Fatal,Pedestrian,2,0,0,Stormy,State Highway,Wet,Daylight,Signals,99,59,Female,Valid,No,34.64594729,76.32993076,Mid-age,True
